Category,Kind,Fabric,Cut,Product_Code,Brand,Color,Warehouse,Location,Supplier,Balance,29,2XL,30,31,32,33,34,35,36,37,38,39,3XL,40,41,42,43,44,45,46,47,48,4XL,50,52,54,56,58,5XL,60,62,64,66,68,6XL,70,L,M,S,XL,XS
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-VK305,Verka,1 Black,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-VK305,Verka,1 Black,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-VK305,Verka,3 Havan,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-VK305,Verka,3 Havan,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-VK306,Verka,1 Black,Retail,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-VK306,Verka,1 Black,Warehouse,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-VK306,Verka,2 D.Brown,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-VK306,Verka,2 D.Brown,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-VK307,Verka,1 Black,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-VK307,Verka,1 Black,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-VK307,Verka,2 D.Brown,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-VK307,Verka,2 D.Brown,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-VK307,Verka,4 Havan,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-VK307,Verka,4 Havan,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-WP626,Will Polo,1 Black,Retail,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-WP626,Will Polo,1 Black,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-WP663,Will Polo,1 Black,Retail,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-WP663,Will Polo,1 Black,Warehouse,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-WP663,Will Polo,3 L.Brown,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-WP663,Will Polo,3 L.Brown,Warehouse,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-WP716,Will Polo,2 Brown,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-WP716,Will Polo,2 Brown,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-WP716,Will Polo,3 Havan,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-WP716,Will Polo,3 Havan,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-WP716,Will Polo,5 Navy,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-WP716,Will Polo,5 Navy,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-WP734,Will Polo,1 Black-Gray,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-WP734,Will Polo,1 Black-Gray,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-WP734,Will Polo,2 Brown,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
